Move,Player,Before,After,Delta,Mistake
1,B,-1.0648371784989135,-1.0892208919724602,0.02438371347354673,0
2,W,1.0892208919724602,1.0263086589921806,0.06291223298027959,0
3,B,-1.0263086589921806,-1.0220799962886533,-0.004228662703527286,0
4,W,1.0220799962886533,1.019020495664615,0.0030595006240383693,0
5,B,-1.019020495664615,-1.073280742158321,0.05426024649370609,0
6,W,1.073280742158321,0.9894762026434237,0.0838045395148973,0
7,B,-0.9894762026434237,-1.0067912694263161,0.017315066782892408,0
8,W,1.0067912694263161,0.9908539653155913,0.015937304110724804,0
9,B,-0.9908539653155913,-1.1659126298940736,0.1750586645784823,0
10,W,1.1659126298940736,0.7869525989798608,0.3789600309142128,0
11,B,-0.7869525989798608,-0.7874062736967266,0.00045367471686574845,0
12,W,0.7874062736967266,0.7878320732966573,-0.0004257995999307207,0
13,B,-0.7878320732966573,-0.806545147936558,0.018713074639900684,0
14,W,0.806545147936558,0.7835125870951425,0.023032560841415473,0
15,B,-0.7835125870951425,-0.7812344001991338,-0.0022781868960086715,0
16,W,0.7812344001991338,0.24294759709855568,0.5382868031005781,1
17,B,-0.24294759709855568,-0.3143376671199459,0.0713900700213902,0
18,W,0.3143376671199459,0.10888741023087545,0.20545025688907043,0
19,B,-0.10888741023087545,-0.1353482483192771,0.02646083808840166,0
20,W,0.1353482483192771,-0.7622983536358425,0.8976466019551197,1
21,B,0.7622983536358425,0.7325387809490289,0.029759572686813618,0
22,W,-0.7325387809490289,-1.534790209883544,0.8022514289345151,1
23,B,1.534790209883544,1.4336202670583205,0.10116994282522351,0
24,W,-1.4336202670583205,-1.4662860934050614,0.03266582634674098,0
25,B,1.4662860934050614,0.6724594970257024,0.793826596379359,1
26,W,-0.6724594970257024,-0.6805685696008077,0.008109072575105292,0
27,B,0.6805685696008077,0.6279554701994758,0.05261309940133185,0
28,W,-0.6279554701994758,-0.7417093560596331,0.11375388586015722,0
29,B,0.7417093560596331,0.7306142896027159,0.011095066456917158,0
30,W,-0.7306142896027159,-2.5387674338338084,1.8081531442310925,2
31,B,2.5387674338338084,-0.03403105204956713,2.5727984858833755,3
32,W,0.03403105204956713,-0.8789212009447532,0.9129522529943204,1
33,B,0.8789212009447532,0.22859970366687865,0.6503214972778746,1
34,W,-0.22859970366687865,-0.263928455758081,0.03532875209120234,0
35,B,0.263928455758081,0.21048794343509805,0.05344051232298294,0
36,W,-0.21048794343509805,-0.7883488406365242,0.5778608972014262,1
37,B,0.7883488406365242,0.00036239912280740136,0.7879864415137168,1
38,W,-0.00036239912280740136,-0.21287204143287572,0.21250964231006833,0
39,B,0.21287204143287572,0.12385830842326671,0.089013733009609,0
40,W,-0.12385830842326671,-0.9968660863932562,0.8730077779699895,1
41,B,0.9968660863932562,-0.8216317827640789,1.8184978691573352,2
42,W,0.8216317827640789,0.016225732632667078,0.8054060501314118,1
43,B,-0.016225732632667078,0.009137504184599493,-0.02536323681726657,0
44,W,-0.009137504184599493,-0.018892061964505543,0.00975455777990605,0
45,B,0.018892061964505543,-0.18719473017692367,0.20608679214142922,0
46,W,0.18719473017692367,-1.7838003777932612,1.9709951079701848,2
47,B,1.7838003777932612,-0.49896811400940766,2.2827684918026687,2
48,W,0.49896811400940766,-0.22543995302927072,0.7244080670386783,1
49,B,0.22543995302927072,-0.7347350926743084,0.9601750457035791,1
50,W,0.7347350926743084,-0.9932473673429563,1.7279824600172646,2
51,B,0.9932473673429563,0.9014057427231675,0.09184162461978873,0
52,W,-0.9014057427231675,-1.5595679668505629,0.6581622241273953,1
53,B,1.5595679668505629,-0.48227840401567834,2.0418463708662413,2
54,W,0.48227840401567834,-1.4860506741035888,1.9683290781192673,2
55,B,1.4860506741035888,-0.3454641617050376,1.8315148358086264,2
56,W,0.3454641617050376,-0.8856456389571117,1.2311098006621493,1
57,B,0.8856456389571117,0.10458767071021166,0.7810579682469,1
58,W,-0.10458767071021166,-0.25354430259936656,0.1489566318891549,0
59,B,0.25354430259936656,-0.006266781163921442,0.259811083763288,0
60,W,0.006266781163921442,-0.8219787469135167,0.8282455280774381,1
61,B,0.8219787469135167,-0.18440553272468915,1.0063842796382059,1
62,W,0.18440553272468915,-0.016730107287168748,0.2011356400118579,0
63,B,0.016730107287168748,0.044176902801167546,-0.027446795513998798,0
64,W,-0.044176902801167546,-0.08023768098403404,0.036060778182866494,0
65,B,0.08023768098403404,0.055721937438345116,0.024515743545688924,0
66,W,-0.055721937438345116,-0.055236269590477116,-0.00048566784786800016,0
67,B,0.055236269590477116,-0.014915371154285486,0.0701516407447626,0
68,W,0.014915371154285486,-1.1236605937538031,1.1385759649080887,1
69,B,1.1236605937538031,0.8345585681501757,0.2891020256036274,0
70,W,-0.8345585681501757,-0.9749495654133701,0.14039099726319437,0
71,B,0.9749495654133701,1.0681258161535712,-0.09317625074020108,0
72,W,-1.0681258161535712,-1.0717066768600543,0.0035808607064831133,0
73,B,1.0717066768600543,1.180115455341284,-0.10840877848122976,0
74,W,-1.180115455341284,-1.0708225770471258,-0.10929287829415824,0
75,B,1.0708225770471258,1.1481525153232721,-0.07732993827614631,0
76,W,-1.1481525153232721,-3.4328318087252905,2.2846792934020184,2
77,B,3.4328318087252905,1.2935986038355416,2.1392332048897487,2
78,W,-1.2935986038355416,-2.2187896852824287,0.9251910814468871,1
79,B,2.2187896852824287,0.9121929968285599,1.306596688453869,1
80,W,-0.9121929968285599,-0.9837633206047566,0.07157032377619665,0
81,B,0.9837633206047566,0.42445553834685185,0.5593077822579047,1
