Move,Player,Before,After,Delta,Mistake
1,B,6.344677452898514,6.370858188719222,-0.026180735820707568,0
2,W,-6.370858188719222,-6.605239982051371,0.23438179333214926,0
3,B,6.605239982051371,6.45814768064254,0.147092301408831,0
4,W,-6.45814768064254,-7.621360408256371,1.163212727613831,1
5,B,7.621360408256371,7.471495541171862,0.14986486708450908,0
6,W,-7.471495541171862,-7.804169553910493,0.3326740127386314,0
7,B,7.804169553910493,7.2733368898822235,0.5308326640282699,1
8,W,-7.2733368898822235,-7.593562129235834,0.32022523935361047,0
9,B,7.593562129235834,7.375898644202667,0.21766348503316735,0
10,W,-7.375898644202667,-6.974059893322541,-0.4018387508801258,0
11,B,6.974059893322541,8.150231156803605,-1.1761712634810637,0
12,W,-8.150231156803605,-8.146428329085243,-0.003802827718361712,0
13,B,8.146428329085243,8.207024454754158,-0.06059612566891559,0
14,W,-8.207024454754158,-8.092362407157545,-0.1146620475966138,0
15,B,8.092362407157545,8.17322560195456,-0.08086319479701487,0
16,W,-8.17322560195456,-8.20020443427113,0.026978832316570944,0
17,B,8.20020443427113,8.169857487368677,0.030346946902453098,0
18,W,-8.169857487368677,-8.515591504202774,0.345734016834097,0
19,B,8.515591504202774,8.492728842648956,0.022862661553817887,0
20,W,-8.492728842648956,-8.514406235554718,0.02167739290576165,0
21,B,8.514406235554718,7.690976293317605,0.8234299422371132,1
22,W,-7.690976293317605,-7.932149240440975,0.24117294712336967,0
23,B,7.932149240440975,7.970720952551315,-0.038571712110340606,0
24,W,-7.970720952551315,-8.251130585651826,0.28040963310051037,0
25,B,8.251130585651826,5.612039875831219,2.6390907098206062,3
26,W,-5.612039875831219,-5.795958577901015,0.18391870206979544,0
27,B,5.795958577901015,5.73173506340986,0.06422351449115471,0
28,W,-5.73173506340986,-5.784999263100816,0.05326419969095575,0
29,B,5.784999263100816,3.1811504879941697,2.603848775106646,3
30,W,-3.1811504879941697,-3.172458140272347,-0.008692347721822813,0
31,B,3.172458140272347,3.251564748870092,-0.07910660859774499,0
32,W,-3.251564748870092,-3.287955357108553,0.0363906082384613,0
33,B,3.287955357108553,3.1545921507150787,0.13336320639347443,0
34,W,-3.1545921507150787,-3.4019918226400763,0.24739967192499757,0
35,B,3.4019918226400763,3.3049220944801445,0.09706972815993176,0
36,W,-3.3049220944801445,-5.609883394969734,2.3049613004895897,2
37,B,5.609883394969734,2.6723007361065663,2.937582658863168,3
38,W,-2.6723007361065663,-2.706448034286509,0.034147298179942887,0
39,B,2.706448034286509,2.695266829756715,0.011181204529794098,0
40,W,-2.695266829756715,-2.733488241984254,0.03822141222753883,0
41,B,2.733488241984254,2.664947506061453,0.06854073592280097,0
42,W,-2.664947506061453,-2.7038638944669344,0.038916388405481506,0
43,B,2.7038638944669344,2.6536752583868375,0.05018863608009694,0
44,W,-2.6536752583868375,-3.3200739539532296,0.6663986955663921,1
45,B,3.3200739539532296,3.367227028948197,-0.04715307499496735,0
46,W,-3.367227028948197,-3.35353259337635,-0.01369443557184713,0
47,B,3.35353259337635,3.1882886573163223,0.16524393606002752,0
48,W,-3.1882886573163223,-3.2330584176276282,0.04476976031130597,0
49,B,3.2330584176276282,3.129158867558899,0.10389955006872942,0
50,W,-3.129158867558899,-3.128507752893118,-0.0006511146657808276,0
51,B,3.128507752893118,3.1338328637442685,-0.005325110851150505,0
52,W,-3.1338328637442685,-3.15810627067665,0.024273406932381558,0
53,B,3.15810627067665,1.609215115737666,1.548891154938984,2
54,W,-1.609215115737666,-1.7073263558762568,0.09811124013859085,0
55,B,1.7073263558762568,1.6163491560343533,0.09097719984190356,0
56,W,-1.6163491560343533,-1.7095104157918855,0.0931612597575322,0
57,B,1.7095104157918855,1.6621165664410777,0.047393849350807704,0
58,W,-1.6621165664410777,-1.6962560264639872,0.03413946002290946,0
59,B,1.6962560264639872,0.6547333239031486,1.0415227025608385,1
60,W,-0.6547333239031486,-7.250077818330346,6.595344494427197,7
61,B,7.250077818330346,3.412729885243206,3.83734793308714,4
62,W,-3.412729885243206,-3.9934810318100435,0.5807511465668376,1
63,B,3.9934810318100435,3.9934444697809397,3.6562029103848204e-05,0
64,W,-3.9934444697809397,-4.372508987671779,0.37906451789083917,0
65,B,4.372508987671779,3.2822591759788144,1.0902498116929644,1
66,W,-3.2822591759788144,-4.769624147277222,1.4873649712984074,1
67,B,4.769624147277222,3.6231565549687463,1.1464675923084755,1
68,W,-3.6231565549687463,-5.619069709547575,1.9959131545788287,2
69,B,5.619069709547575,3.8681340388093246,1.7509356707382504,2
70,W,-3.8681340388093246,-3.998174361758546,0.1300403229492213,0
71,B,3.998174361758546,2.766435034733477,1.231739327025069,1
72,W,-2.766435034733477,-3.9159089906506015,1.1494739559171245,1
73,B,3.9159089906506015,3.0937203357329155,0.822188654917686,1
74,W,-3.0937203357329155,-3.4435199563901215,0.34979962065720605,0
75,B,3.4435199563901215,3.3874927956234555,0.05602716076666603,0
76,W,-3.3874927956234555,-4.279529111718369,0.8920363160949134,1
77,B,4.279529111718369,4.109982957088452,0.1695461546299173,0
78,W,-4.109982957088452,-5.881364212605925,1.7713812555174737,2
79,B,5.881364212605925,1.8749240631238047,4.0064401494821205,4
80,W,-1.8749240631238047,-4.01459821985527,2.1396741567314654,2
81,B,4.01459821985527,3.564313454415379,0.4502847654398914,0
82,W,-3.564313454415379,-4.19717147527601,0.6328580208606307,1
83,B,4.19717147527601,3.6887985106151646,0.508372964660845,1
84,W,-3.6887985106151646,-3.814515372235754,0.12571686162058926,0
85,B,3.814515372235754,3.650476491485044,0.16403888075070983,0
86,W,-3.650476491485044,-3.940334645064579,0.28985815357953504,0
87,B,3.940334645064579,3.8263958807450247,0.11393876431955441,0
88,W,-3.8263958807450247,-4.5439131914900965,0.7175173107450719,1
89,B,4.5439131914900965,3.485661601726375,1.0582515897637217,1
90,W,-3.485661601726375,-5.550802735304501,2.065141133578126,2
91,B,5.550802735304501,5.3131092299384,0.23769350536610112,0
92,W,-5.3131092299384,-8.607723682487622,3.2946144525492222,3
93,B,8.607723682487622,5.229849020311367,3.3778746621762554,3
94,W,-5.229849020311367,-9.26749579336866,4.037646773057293,4
95,B,9.26749579336866,2.5378147811522047,6.729681012216455,7
96,W,-2.5378147811522047,-2.506922956827538,-0.03089182432466675,0
97,B,2.506922956827538,0.7435523989311321,1.7633705578964058,2
98,W,-0.7435523989311321,-0.8262786762116021,0.08272627728047,0
99,B,0.8262786762116021,0.7857181934877968,0.0405604827238053,0
100,W,-0.7857181934877968,-0.7978920238910738,0.01217383040327702,0
101,B,0.7978920238910738,0.6622854753396716,0.1356065485514022,0
102,W,-0.6622854753396716,-0.6494241411736899,-0.012861334165981786,0
103,B,0.6494241411736899,0.6208515320939962,0.02857260907969361,0
104,W,-0.6208515320939962,-0.647372158670598,0.026520626576601813,0
105,B,0.647372158670598,0.5841700651209395,0.06320209354965856,0
106,W,-0.5841700651209395,-0.6230220911133827,0.038852025992443195,0
107,B,0.6230220911133827,0.558355947605954,0.06466614350742872,0
108,W,-0.558355947605954,-0.5105531837572524,-0.047802763848701524,0
109,B,0.5105531837572524,0.49193251648623015,0.018620667271022295,0
110,W,-0.49193251648623015,-0.5028727012720645,0.010940184785834361,0
111,B,0.5028727012720645,0.6168587911730519,-0.11398608990098735,0
112,W,-0.6168587911730519,-0.6342655875305644,0.017406796357512522,0
113,B,0.6342655875305644,0.6660708642030793,-0.03180527667251487,0
114,W,-0.6660708642030793,-0.8475044266401173,0.181433562437038,0
115,B,0.8475044266401173,0.7667362248751537,0.08076820176496358,0
116,W,-0.7667362248751537,-1.040801713375164,0.2740654885000102,0
117,B,1.040801713375164,0.6813279515939182,0.3594737617812457,0
118,W,-0.6813279515939182,-0.7258966156894168,0.044568664095498534,0
119,B,0.7258966156894168,-0.5308229229499742,1.256719538639391,1
120,W,0.5308229229499742,0.015886438076340027,0.5149364848736342,1
121,B,-0.015886438076340027,-1.3986535178516684,1.3827670797753284,1
122,W,1.3986535178516684,0.7096590665291223,0.6889944513225461,1
123,B,-0.7096590665291223,-0.6937776821219191,-0.015881384407203103,0
124,W,0.6937776821219191,0.6470202501962917,0.046757431925627424,0
125,B,-0.6470202501962917,-0.700305915663415,0.05328566546712332,0
126,W,0.700305915663415,-0.8615368180808191,1.5618427337442342,2
127,B,0.8615368180808191,0.09313457764318794,0.7684022404376312,1
128,W,-0.09313457764318794,-0.16296400581429163,0.06982942817110369,0
129,B,0.16296400581429163,0.11812366365413185,0.04484034216015978,0
130,W,-0.11812366365413185,-1.2723175749025513,1.1541939112484194,1
131,B,1.2723175749025513,0.825743850371833,0.4465737245307183,0
132,W,-0.825743850371833,-0.9099589830593481,0.08421513268751513,0
133,B,0.9099589830593481,0.8823951239981868,0.027563859061161322,0
134,W,-0.8823951239981868,-0.8984813703959119,0.016086246397725157,0
135,B,0.8984813703959119,0.8256003869523488,0.07288098344356309,0
136,W,-0.8256003869523488,-1.4994539442154105,0.6738535572630616,1
137,B,1.4994539442154105,0.6465978643988121,0.8528560798165984,1
138,W,-0.6465978643988121,-0.8933031380303648,0.2467052736315527,0
139,B,0.8933031380303648,0.8575290018187144,0.035774136211650376,0
140,W,-0.8575290018187144,-1.5259515990331447,0.6684225972144303,1
141,B,1.5259515990331447,1.3549085913945975,0.17104300763854718,0
142,W,-1.3549085913945975,-4.014729997894969,2.659821406500372,3
143,B,4.014729997894969,3.1347032741555445,0.8800267237394248,1
144,W,-3.1347032741555445,-4.58588646378611,1.4511831896305658,1
145,B,4.58588646378611,4.184769442185508,0.40111702160060236,0
146,W,-4.184769442185508,-5.992978698376552,1.8082092561910441,2
147,B,5.992978698376552,3.8017486278277928,2.1912300705487593,2
148,W,-3.8017486278277928,-5.455163641904614,1.653415014076821,2
149,B,5.455163641904614,5.0974197744962995,0.3577438674083142,0
150,W,-5.0974197744962995,-5.668191093773008,0.5707713192767088,1
151,B,5.668191093773008,4.203452930651571,1.464738163121437,1
152,W,-4.203452930651571,-4.0989730576708245,-0.10447987298074679,0
153,B,4.0989730576708245,3.7589307603930835,0.34004229727774105,0
154,W,-3.7589307603930835,-3.9839721845043496,0.22504142411126615,0
155,B,3.9839721845043496,3.0175547446917523,0.9664174398125973,1
156,W,-3.0175547446917523,-3.4225113755999796,0.4049566309082273,0
157,B,3.4225113755999796,3.3692876606633093,0.05322371493667033,0
